file_name,chars_total,lines_total,header_end_line,header_marker,backmatter_start_line,backmatter_marker,chars_header,chars_body,chars_backmatter,boilerplate_lines,reference_link_lines,short_lines,has_publisher_footer,doi,journal,admin_sections,content_sections,pct_header,pct_body,pct_backmatter
Toll mediated infection response is altered by gra.txt,59591,2000,178.0,^Abstract$,1218.0,^acknowledge?ments?$,5448,37768,16376,135,543,777,True,10.1371/journal.pone.0086485,PLoS One,Acknowledgments|References|Funding|Competing interests|Supplementary,Abstract|Introduction|Methods,9.14,63.38,27.48
Multiomics analysis of multiple missions to space .txt,5447,154,,,,,0,5448,0,20,0,49,True,10.1038/s41598-020-58490-w,Sci Rep,Contributor Information,,0.0,100.02,0.0
GeneLab database analyses suggest longterm impact .txt,80316,1693,78.0,^Abstract$,769.0,^acknowledge?ments?$,2047,52669,25601,155,688,954,True,10.3390/ijms20030661,Int J Mol Sci,Acknowledgments|References|Funding|Author contributions,Abstract,2.55,65.58,31.88
FAIRness and usability for openaccess omics data s.txt,39713,506,62.0,^Abstract$,214.0,^references$,1032,31247,7435,68,226,243,True,,AMIA Annu Symp Proc,References,Abstract|Introduction|Methods|Discussion,2.6,78.68,18.72
NASA GeneLab platform utilized for biological resp.txt,91008,2007,147.0,^Abstract$,1038.0,^references$,4732,57395,28882,181,823,1073,True,10.3390/cancers12020381,Cancers (Basel),References|Funding|Author contributions|Supplementary,Abstract,5.2,63.07,31.74
Circulating miRNA spaceflight signature reveals ta.txt,131426,2497,417.0,^PMC Copyright notice$,1650.0,^acknowledge?ments?$,11558,95799,24070,187,659,872,False,10.1016/j.celrep.2020.108448,Cell Rep,Acknowledgments|References|Author contributions|Data availability|Supplementary|Footnotes,Introduction|Results|Discussion,8.79,72.89,18.31
Machine learning algorithm to characterize antimic.txt,61469,1378,127.0,^Abstract$,663.0,^acknowledge?ments?$,5012,32209,24249,127,502,680,True,10.1186/s40168-022-01332-w,Microbiome,Acknowledgments|References|Funding|Competing interests|Data availability|Supplementary|Footnotes,Abstract|Methods|Results|Discussion|Conclusion,8.15,52.4,39.45
Extraterrestrial Gynecology Could Spaceflight Incr.txt,152281,3154,270.0,^Abstract$,1360.0,^references$,9250,91229,51803,310,1448,1650,True,10.3390/ijms23137465,Int J Mol Sci,References|Funding|Author contributions|Data availability|Footnotes,Abstract,6.07,59.91,34.02
Muscle atrophy phenotype gene expression during sp.txt,68357,1185,121.0,^PMC Copyright notice$,572.0,^acknowledge?ments?$,3622,44240,20496,123,493,458,True,10.1016/j.isci.2022.105213,iScience,Acknowledgments|References|Author contributions|Data availability|Supplementary|Footnotes|Contributor Information,Introduction|Results|Discussion,5.3,64.72,29.98
Chromosomal positioning and epigenetic architectur.txt,69833,1327,76.0,^Abstract$,711.0,^references$,2956,51507,15371,117,472,705,True,10.1038/s41598-024-51756-7,Sci Rep,References|Funding|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.23,73.76,22.01
A comprehensive SARSCoV2 and COVID19 review Part 2.txt,85125,1552,338.0,^Abstract$,671.0,^acknowledge?ments?$,11226,50276,23624,181,699,879,True,10.1038/s41431-023-01462-1,Eur J Hum Genet,Acknowledgments|References|Funding|Competing interests|Author contributions|Footnotes|Contributor Information,Abstract|Introduction|Conclusion,13.19,59.06,27.75
Aging and putative frailty biomarkers are altered .txt,109038,2416,396.0,^Abstract$,1304.0,^acknowledge?ments?$,11635,67528,29876,206,772,1127,True,10.1038/s41598-024-57948-5,Sci Rep,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,10.67,61.93,27.4
Space radiation damage rescued by inhibition of ke.txt,146235,2744,414.0,^Abstract$,1508.0,^acknowledge?ments?$,12447,98326,35463,241,889,1349,True,10.1038/s41467-024-48920-y,Nat Commun,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes|Contributor Information,Abstract|Introduction|Methods|Results|Discussion,8.51,67.24,24.25
Ethical considerations for the age of nongovernmen.txt,66199,1241,278.0,^Abstract$,537.0,^acknowledge?ments?$,7824,39056,19320,107,390,633,True,10.1038/s41467-023-44357-x,Nat Commun,Acknowledgments|References|Competing interests|Author contributions|Footnotes|Contributor Information,Abstract|Introduction|Conclusion,11.82,59.0,29.18
